Epoch 1. Batch 0-19. Loss: 0.798586, Train acc 0.118750
Epoch 5. Batch 240-259. Loss: 0.029689, Train acc 0.989062
Epoch 5. Batch 260-279. Loss: 0.037299, Train acc 0.973437
Epoch 5. Batch 280-299. Loss: 0.032483, Train acc 0.978125
Epoch 5. Batch 300-319. Loss: 0.038316, Train acc 0.964063
Epoch 5. Batch 320-339. Loss: 0.044643, Train acc 0.957812
Epoch 5. Batch 340-359. Loss: 0.033419, Train acc 0.973437
Epoch 5. Batch 360-379. Loss: 0.032113, Train acc 0.971875
Epoch 5. Batch 380-399. Loss: 0.031616, Train acc 0.978125
Epoch 5. Batch 400-419. Loss: 0.039768, Train acc 0.973437
Epoch 5. Batch 420-439. Loss: 0.043190, Train acc 0.967187
Epoch 5. Batch 440-459. Loss: 0.031794, Train acc 0.978125
Epoch 5. Batch 460-479. Loss: 0.038838, Train acc 0.968750
Epoch 5. Batch 480-499. Loss: 0.037976, Train acc 0.970313
Epoch 5. Batch 500-519. Loss: 0.032008, Train acc 0.970313
Epoch 5. Batch 520-539. Loss: 0.037290, Train acc 0.964063
Epoch 5. Batch 540-559. Loss: 0.036328, Train acc 0.973437
Epoch 5. Batch 560-579. Loss: 0.034108, Train acc 0.973437
Epoch 5. Batch 580-599. Loss: 0.029898, Train acc 0.984375
Epoch 5. Batch 600-619. Loss: 0.031585, Train acc 0.979688
Epoch 5. Batch 620-639. Loss: 0.033436, Train acc 0.968750
Epoch 5. Batch 640-659. Loss: 0.033454, Train acc 0.973437
Epoch 5. Batch 660-679. Loss: 0.038291, Train acc 0.971875
Epoch 5. Batch 680-699. Loss: 0.032377, Train acc 0.982812
Epoch 5. Batch 700-719. Loss: 0.031690, Train acc 0.976562
Epoch 5. Batch 720-739. Loss: 0.029988, Train acc 0.979688
Epoch 5. Batch 740-759. Loss: 0.036499, Train acc 0.975000
Epoch 5. Batch 760-779. Loss: 0.032460, Train acc 0.979688
Epoch 5. Batch 780-799. Loss: 0.041050, Train acc 0.967187
Epoch 5. Batch 800-819. Loss: 0.031615, Train acc 0.973437
Epoch 5. Batch 820-839. Loss: 0.039162, Train acc 0.967187
Epoch 5. Batch 840-859. Loss: 0.036060, Train acc 0.970313
Epoch 5. Batch 860-879. Loss: 0.032939, Train acc 0.970313
Epoch 5. Batch 880-899. Loss: 0.034741, Train acc 0.978125
Epoch 5. Batch 900-919. Loss: 0.036610, Train acc 0.975000
Epoch 5. Batch 920-939. Loss: 0.041781, Train acc 0.965625
Epoch 5. Batch 940-959. Loss: 0.032983, Train acc 0.976562
Epoch 5. Batch 960-979. Loss: 0.038629, Train acc 0.960938
Epoch 5. Batch 980-999. Loss: 0.037270, Train acc 0.976562
Epoch 5. Batch 1000-1019. Loss: 0.038637, Train acc 0.970313
Epoch 5. Batch 1020-1039. Loss: 0.039992, Train acc 0.978125
Epoch 5. Batch 1040-1059. Loss: 0.042244, Train acc 0.960938
Epoch 5. Batch 1060-1079. Loss: 0.035345, Train acc 0.971875
Epoch 5. Batch 1080-1099. Loss: 0.030037, Train acc 0.981250
Epoch 5. Batch 1100-1119. Loss: 0.033900, Train acc 0.971875
Epoch 5. Batch 1120-1139. Loss: 0.036592, Train acc 0.971875
Epoch 5. Batch 1140-1159. Loss: 0.036536, Train acc 0.968750
Epoch 5. Batch 1160-1179. Loss: 0.035474, Train acc 0.981250
Epoch 5. Batch 1180-1199. Loss: 0.050907, Train acc 0.960938
Epoch 5. Batch 1200-1219. Loss: 0.037906, Train acc 0.973437
Epoch 5. Batch 1220-1239. Loss: 0.043187, Train acc 0.960938
Epoch 5. Batch 1240-1259. Loss: 0.035314, Train acc 0.973437
Epoch 5. Batch 1260-1279. Loss: 0.040284, Train acc 0.962500
Epoch 5. Batch 1280-1299. Loss: 0.035461, Train acc 0.979688
Epoch 5. Batch 1300-1319. Loss: 0.035043, Train acc 0.970313
Epoch 5. Batch 1320-1339. Loss: 0.035028, Train acc 0.973437
Epoch 5. Batch 1340-1359. Loss: 0.033918, Train acc 0.978125
Epoch 5. Batch 1360-1379. Loss: 0.039957, Train acc 0.968750
Epoch 5. Batch 1380-1399. Loss: 0.046867, Train acc 0.960938
Epoch 5. Batch 1400-1419. Loss: 0.042943, Train acc 0.964063
Epoch 5. Batch 1420-1439. Loss: 0.040564, Train acc 0.973437
Epoch 5. Batch 1440-1459. Loss: 0.033003, Train acc 0.982812
Epoch 5. Batch 1460-1479. Loss: 0.043059, Train acc 0.970313
Epoch 5. Batch 1480-1499. Loss: 0.036110, Train acc 0.973437
Epoch 5. Batch 1500-1519. Loss: 0.035630, Train acc 0.976562
Epoch 5. Batch 1520-1539. Loss: 0.035293, Train acc 0.973437
Epoch 5. Batch 1540-1559. Loss: 0.040857, Train acc 0.970313
Epoch 5. Batch 1560-1579. Loss: 0.037453, Train acc 0.970313
Epoch 5. Batch 1580-1599. Loss: 0.036256, Train acc 0.968750
Epoch 5. Batch 1600-1619. Loss: 0.042559, Train acc 0.965625
Epoch 5. Batch 1620-1639. Loss: 0.036693, Train acc 0.968750
Epoch 5. Batch 1640-1659. Loss: 0.040512, Train acc 0.975000
Epoch 5. Batch 1660-1679. Loss: 0.041914, Train acc 0.965625
Epoch 5. Batch 1680-1699. Loss: 0.035636, Train acc 0.978125
Epoch 5. Batch 1700-1719. Loss: 0.044851, Train acc 0.962500
Epoch 5. Batch 1720-1739. Loss: 0.032804, Train acc 0.978125
Epoch 5. Batch 1740-1759. Loss: 0.032349, Train acc 0.971875
Epoch 5. Batch 1760-1779. Loss: 0.037850, Train acc 0.975000
Epoch 5. Batch 1780-1799. Loss: 0.036627, Train acc 0.975000
Epoch 5. Batch 1800-1819. Loss: 0.036316, Train acc 0.968750
Epoch 5. Batch 1820-1839. Loss: 0.036785, Train acc 0.973437
Epoch 5. Batch 1840-1859. Loss: 0.039113, Train acc 0.968750
Epoch 5. Loss: 0.036988, Train acc 0.971983, Test acc 0.969848
